"tournament_name","tournament_country_code","date_start","date_end","round_code","category_code","red_id","red_first_name","red_last_name","red_nationality_code","red_birth_date","blue_id","blue_first_name","blue_last_name","blue_nationality_code","blue_birth_date","winner_athlete_id","red_score","red_penalties","blue_score","blue_penalties","red_score_order","blue_score_order","fight_time"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","SAMMYUT58","8420","Artsiom","LEANOVICH","BLR","2008-06-17","8484","Narek","SIMONYAN","ARM","2008-06-17","8420",2,0,0,1,"2",NULL,"230500"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","FNL","CSMMJUN98O","15935","Kirill","NIKIFOROV","RUS","2007-12-24","15838","Ivan","TRACHUK","UKR","2007-12-24","15935",8,0,0,2,"2-1-1-2-1",NULL,"224328"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","FNL","SAMMJUN64","15768","Iakob","GASITASHVILI","GEO","2006-12-30","15230","Georgii","KROTOV","RUS","2006-12-30","15230",0,0,5,0,NULL,"1-4","71328"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","BR1","SAMWJUN54","8393","Despoina","PAPADOPOULOU","GRE","2008-09-06","9083","Ruslana","SHOBA","BLR","2008-09-06","9083",0,0,3,0,NULL,"2-1","201497"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","FNL","SAMMJUN79","8515","Ivan","SIAMIONAU","BLR","2006-10-15","15948","Artem","NUGAEV","RUS","2006-10-15","15948",0,0,1,0,NULL,"1","120894"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","FNL","SAMWJUN65","8406","Emili","APOSTOLOVA","BUL","2007-07-06","15784","Nika","MARKULIN","CRO","2007-07-06","8406",8,0,2,0,"4-4","2","107403"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","BR1","SAMMJUN79","15732","Edward","BROOKER","GBR","2008-02-18","11745","Levon","VANOYAN","ARM","2008-02-18","11745",0,1,0,0,NULL,NULL,"45258"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","FNL","SAMWJUN54","14462","Anna","KANDRASHINA","RUS","2006-06-29","15911","Josefine Isabel","WIDMANN","GER","2006-06-29","14462",0,0,0,0,NULL,NULL,"47839"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","BR2","SAMWJUN54","13842","Anastasia","SHLOMKA","UKR","2007-02-22","8548","Yulya","MARTIROSYAN","ARM","2007-02-22","13842",4,0,0,0,"4",NULL,"38752"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","SAMMJUN98","15659","Tunjay","SHAMIL","AZE","2006-10-16","11692","Relja","RODIC","SRB","2006-10-16","15659",5,0,0,0,"4-1",NULL,"300000"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","SAMWJUN54","9083","Ruslana","SHOBA","BLR","2008-06-04","14462","Anna","KANDRASHINA","RUS","2008-06-04","14462",2,0,3,0,"2","1-2","300000"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","RP1","SAMMJUN64","15983","Jurgis","PUODZIUKYNAS","LTU","2007-09-04","10697","Ziyaddin","ZEYNALLI","AZE","2007-09-04","10697",0,0,1,0,NULL,"1","300000"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","SAMMJUN79","11745","Levon","VANOYAN","ARM","2006-02-14","8515","Ivan","SIAMIONAU","BLR","2006-02-14","8515",1,0,1,2,NULL,"1","300000"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","SAMWJUN80","15268","Lorenna","HRANILOVIC","CRO","2006-10-06","15806","Iryna","NAHORIANSKA","UKR","2006-10-06","15268",8,2,3,1,"1-4-2-1","1-1","300000"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","CSMMJUN88","15930","Artem","MARKOV","RUS","2006-10-21","15989","Gazi","HATTAB","TUR","2006-10-21","15930",8,0,0,0,"2-4-2",NULL,"112245"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","SAMMJUN98","15668","Veaceslav","VATAMANIUC","MDA","2006-12-14","15205","Yigit","ALTUN","TUR","2006-12-14","15205",1,2,10,2,NULL,"1-4-4","292237"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","CSMMJUN88","15874","Volodymyr","SHEVCHUK","UKR","2007-07-31","11614","Matas","JAUGELIS","LTU","2007-07-31","15874",1,1,0,0,"1",NULL,"106339"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","RP1","SAMWJUN54","8093","Irina","FLOREA","MDA","2007-10-05","13842","Anastasia","SHLOMKA","UKR","2007-10-05","13842",0,1,4,1,NULL,"4","222130"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","BR1","SAMMJUN64","10697","Ziyaddin","ZEYNALLI","AZE","2007-10-19","8260","Uladzislau","KUZNIATSOU","BLR","2007-10-19","8260",0,1,0,0,NULL,NULL,"210378"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","SAMWJUN65","8327","Nasiba","ISMOILOVA","RUS","2006-01-29","15784","Nika","MARKULIN","CRO","2006-01-29","15784",1,0,2,0,"1","1-1","300000"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","CSMMJUN71","15228","Pavlo","NAPALKOV","UKR","2007-09-20","16001","David","KUDIAKOV","RUS","2007-09-20","16001",0,1,0,0,NULL,NULL,"300000"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","QFL","SAMMJUN79","14509","Adam","BARANCHICK","ISR","2007-10-12","11595","Volodymyr","SVIDRAK","UKR","2007-10-12","11595",0,0,8,0,NULL,"4-4","33957"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","CSMMJUN58","15394","Mirza","TSIKHELASHVILI","GEO","2006-06-30","15922","Danila","KALKIN","RUS","2006-06-30","15922",1,0,0,0,"1",NULL,"63553"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","QFL","SAMMJUN79","15892","Sergej","KOVACEVIC","SRB","2007-01-12","11745","Levon","VANOYAN","ARM","2007-01-12","11745",3,1,4,2,"1-1","4","300000"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","SAMWJUN54","15911","Josefine Isabel","WIDMANN","GER","2008-08-29","8548","Yulya","MARTIROSYAN","ARM","2008-08-29","15911",10,3,7,0,"1-4-4-1","2-1-2","300000"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","CSMMJUN98O","15829","Stiliyan","VIDOLOV","BUL","2006-01-12","15935","Kirill","NIKIFOROV","RUS","2006-01-12","15935",1,0,12,2,NULL,"4-4-4","87453"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","CSMMJUN71","15962","Armen","ADAMYAN","ARM","2006-08-18","11555","Niko","SANDRK","CRO","2006-08-18","15962",6,1,4,3,"1-1-2","1-2-1","255236"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","BR2","SAMMJUN64","12776","Alexandros","POLYCHRONIDIS","GRE","2008-06-30","8553","Mihran","SLOYAN","ARM","2008-06-30","12776",2,1,0,0,"1-1",NULL,"300000"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","QFL","SAMMJUN64","15665","Vasile","SOLOTCHI","MDA","2007-07-02","8553","Mihran","SLOYAN","ARM","2007-07-02","8553",0,0,9,0,NULL,"4-1-4","231711"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","SAMMJUN79","11595","Volodymyr","SVIDRAK","UKR","2006-02-26","15948","Artem","NUGAEV","RUS","2006-02-26","15948",2,0,1,1,"2","1","181015"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","QFL","SAMWJUN80","12030","Ekaterina","FADEEVA","RUS","2007-06-03","15647","Liuba","BIRCA","MDA","2007-06-03","12030",8,0,0,0,"2-4-2",NULL,"61685"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","QFL","SAMMJUN64","15768","Iakob","GASITASHVILI","GEO","2006-12-30","10697","Ziyaddin","ZEYNALLI","AZE","2006-12-30","15768",3,0,1,0,"1-1-1","1","300000"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","BR2","SAMWJUN65","12740","Jana","KNEZEVIC","SRB","2008-10-29","8327","Nasiba","ISMOILOVA","RUS","2008-10-29","8327",0,0,1,0,NULL,"1","150154"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","QFL","SAMWJUN65","14392","Mari","CHICHVEISHVILI","GEO","2007-11-11","8406","Emili","APOSTOLOVA","BUL","2007-11-11","8406",0,0,9,0,NULL,"1-4-4","143159"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","SFL","SAMWJUN65","8406","Emili","APOSTOLOVA","BUL","2007-07-06","15649","Yuliia","DZYDZ","UKR","2007-07-06","8406",1,0,0,0,"1",NULL,"300000"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","R16","SAMWJUN54","15911","Josefine Isabel","WIDMANN","GER","2008-08-29","8093","Irina","FLOREA","MDA","2008-08-29","15911",3,0,1,0,"1-2","1","300000"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","R16","SAMMJUN98","14488","Apti","UTSIEV","RUS","2008-02-26","15886","Artem","KOLOTOV","UKR","2008-02-26","14488",9,0,0,0,"4-2-1-2",NULL,"242722"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","R16","SAMMJUN64","9506","Johny","HAVKIN","ISR","2007-09-25","15753","Beer","KUIPERS","NED","2007-09-25","9506",9,0,0,0,"1-4-4",NULL,"57517"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","FNL","SAMMJUN98O","8429","Artsiom","KOUTSIUKH","BLR","2008-01-01","15936","Timofei","LISITSYN","RUS","2008-01-01","15936",0,1,8,0,NULL,"4-2-2","201293"
"2026 European Youth and Junior Sambo Championships","SRB","2026-04-21","2026-04-23","FNL","SAMWJUN80O","15274","Mariami","GABITASHVILI","GEO","2007-11-27","8325","Valeriia","NIZHEGORODOVA","RUS","2007-11-27","8325",0,0,9,0,NULL,"4-2-1-2","64754"
